subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
108,001,1,recog,51,NEEDED,HF,target,right,aqua,pleasantness,liberal,no,z,1,1.50644679024,3,208
108,001,1,recog,52,INVOLVED,HF,target,left,yellow,imageability,liberal,no,m,0,1.33325011346,-3,205
108,001,1,recog,53,MILES,HF,target,left,yellow,imageability,liberal,no,z,1,1.61317205543,3,208
108,001,1,recog,54,BOVINE,LF,target,right,aqua,pleasantness,conservative,no,m,0,0.866829880259,-1,207
108,001,1,recog,55,CHIEF,HF,lure,-,-,-,conservative,no,m,1,1.21324852972,3,210
108,001,1,recog,56,AMALGAM,LF,lure,-,-,-,liberal,no,z,0,1.0533329374,-1,209
108,001,1,recog,57,AEROSOL,LF,lure,-,-,-,liberal,no,m,1,1.39990519534,1,210
108,001,1,recog,58,MAKES,HF,lure,-,-,-,conservative,no,m,1,0.853383089283,3,213
108,001,1,recog,59,MYOPIC,LF,target,right,aqua,pleasantness,liberal,no,z,1,1.34631489958,3,216
108,001,1,recog,60,PASSED,HF,target,right,aqua,pleasantness,liberal,no,z,1,1.07961428507,3,219
108,001,1,recog,61,OSTRACISM,LF,lure,-,-,-,liberal,no,m,1,0.626798484005,1,220
108,001,1,recog,62,LIVED,HF,target,right,aqua,pleasantness,conservative,no,z,1,1.14658721552,1,221
108,001,1,recog,63,FABLE,LF,target,left,yellow,imageability,conservative,no,m,0,1.826353496,-1,220
108,001,1,recog,64,MEANS,HF,target,right,aqua,pleasantness,conservative,no,z,1,0.946492924112,1,221
108,001,1,recog,65,AMONG,HF,target,left,yellow,imageability,conservative,no,z,1,1.10674909466,1,222
108,001,1,recog,66,PRIVATE,HF,lure,-,-,-,conservative,no,m,1,0.746752408794,3,225
